from,to
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C147066
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C163026
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C165640
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C160921
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C177904
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C174220
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C174221
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C132309
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C147067
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C99077
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C66736
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C66737
http://id.d4k.dk/dataset/cdisc/ct/v48/protocol,http://id.d4k.dk/dataset/cdisc/ct/v48/protocol/C66739
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C141657
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C141656
